"cod","sex","age","pop1","pop2","deaths","date1","date2"
1,"m",0,34101,34886,772,2001-11-25,2010-11-28
1,"m",10,34946,38125,223,2001-11-25,2010-11-28
1,"m",15,32387,37611,416,2001-11-25,2010-11-28
1,"m",20,25634,33665,480,2001-11-25,2010-11-28
1,"m",25,18606,28376,475,2001-11-25,2010-11-28
1,"m",30,16193,22026,456,2001-11-25,2010-11-28
1,"m",35,14327,18398,503,2001-11-25,2010-11-28
1,"m",40,12987,15684,581,2001-11-25,2010-11-28
1,"m",45,10746,14665,653,2001-11-25,2010-11-28
1,"m",5,34996,36406,232,2001-11-25,2010-11-28
1,"m",50,10102,12384,710,2001-11-25,2010-11-28
1,"m",55,7812,10652,757,2001-11-25,2010-11-28
1,"m",60,6938,9165,824,2001-11-25,2010-11-28
1,"m",65,5763,7640,963,2001-11-25,2010-11-28
1,"m",70,4668,5845,1138,2001-11-25,2010-11-28
1,"m",75,3753,4298,1271,2001-11-25,2010-11-28
1,"m",80,2549,3125,1424,2001-11-25,2010-11-28
1,"m",85,2831,2788,2587,2001-11-25,2010-11-28
1,"f",0,33491,33876,691,2001-11-25,2010-11-28
1,"f",10,34975,37366,162,2001-11-25,2010-11-28
1,"f",15,34181,37215,237,2001-11-25,2010-11-28
1,"f",20,31000,35753,212,2001-11-25,2010-11-28
1,"f",25,23844,32054,182,2001-11-25,2010-11-28
1,"f",30,21317,26520,186,2001-11-25,2010-11-28
1,"f",35,19294,23422,249,2001-11-25,2010-11-28
1,"f",40,16959,20886,317,2001-11-25,2010-11-28
1,"f",45,13503,19098,358,2001-11-25,2010-11-28
1,"f",5,33817,35701,161,2001-11-25,2010-11-28
1,"f",50,12405,16079,406,2001-11-25,2010-11-28
1,"f",55,10008,13498,535,2001-11-25,2010-11-28
1,"f",60,8944,11503,605,2001-11-25,2010-11-28
1,"f",65,7481,10008,784,2001-11-25,2010-11-28
1,"f",70,6294,7802,965,2001-11-25,2010-11-28
1,"f",75,4773,5661,1238,2001-11-25,2010-11-28
1,"f",80,3523,4362,1542,2001-11-25,2010-11-28
1,"f",85,4165,4223,3900,2001-11-25,2010-11-28
2,"m",0,10067,9573,452,2001-11-25,2010-11-28
2,"m",10,10925,11064,73,2001-11-25,2010-11-28
2,"m",15,9048,9459,150,2001-11-25,2010-11-28
2,"m",20,6328,6840,221,2001-11-25,2010-11-28
2,"m",25,4985,5670,167,2001-11-25,2010-11-28
2,"m",30,4651,4991,142,2001-11-25,2010-11-28
2,"m",35,4224,4671,115,2001-11-25,2010-11-28
2,"m",40,3903,4365,170,2001-11-25,2010-11-28
2,"m",45,3259,4122,158,2001-11-25,2010-11-28
2,"m",5,10747,10740,75,2001-11-25,2010-11-28
2,"m",50,3216,3595,180,2001-11-25,2010-11-28
2,"m",55,2638,3161,203,2001-11-25,2010-11-28
2,"m",60,2618,2885,270,2001-11-25,2010-11-28
2,"m",65,2157,2871,306,2001-11-25,2010-11-28
2,"m",70,1790,2317,420,2001-11-25,2010-11-28
2,"m",75,1386,1603,503,2001-11-25,2010-11-28
2,"m",80,944,1166,533,2001-11-25,2010-11-28
2,"m",85,1083,882,962,2001-11-25,2010-11-28
2,"f",0,9797,9100,344,2001-11-25,2010-11-28
2,"f",10,10295,10525,52,2001-11-25,2010-11-28
2,"f",15,8710,9303,87,2001-11-25,2010-11-28
2,"f",20,7109,7283,86,2001-11-25,2010-11-28
2,"f",25,5741,6636,79,2001-11-25,2010-11-28
2,"f",30,5109,5908,70,2001-11-25,2010-11-28
2,"f",35,4811,5514,95,2001-11-25,2010-11-28
2,"f",40,4422,4887,106,2001-11-25,2010-11-28
2,"f",45,3645,4460,120,2001-11-25,2010-11-28
2,"f",5,10415,10497,68,2001-11-25,2010-11-28
2,"f",50,3466,3930,131,2001-11-25,2010-11-28
2,"f",55,2839,3435,162,2001-11-25,2010-11-28
2,"f",60,2699,3181,200,2001-11-25,2010-11-28
2,"f",65,2361,2958,238,2001-11-25,2010-11-28
2,"f",70,1853,2330,386,2001-11-25,2010-11-28
2,"f",75,1342,1687,441,2001-11-25,2010-11-28
2,"f",80,923,1179,489,2001-11-25,2010-11-28
2,"f",85,1190,954,1126,2001-11-25,2010-11-28
3,"m",0,12631,11698,260,2001-11-25,2010-11-28
3,"m",10,13663,13538,72,2001-11-25,2010-11-28
3,"m",15,11186,12404,157,2001-11-25,2010-11-28
3,"m",20,7078,9389,176,2001-11-25,2010-11-28
3,"m",25,4828,7266,148,2001-11-25,2010-11-28
3,"m",30,4511,5717,150,2001-11-25,2010-11-28
3,"m",35,4220,5030,169,2001-11-25,2010-11-28
3,"m",40,3834,4541,202,2001-11-25,2010-11-28
3,"m",45,3419,4367,217,2001-11-25,2010-11-28
3,"m",5,13001,11946,79,2001-11-25,2010-11-28
3,"m",50,3484,3733,289,2001-11-25,2010-11-28
3,"m",55,2859,3460,307,2001-11-25,2010-11-28
3,"m",60,2765,3114,315,2001-11-25,2010-11-28
3,"m",65,2190,2868,355,2001-11-25,2010-11-28
3,"m",70,1800,2219,434,2001-11-25,2010-11-28
3,"m",75,1328,1467,445,2001-11-25,2010-11-28
3,"m",80,851,1121,489,2001-11-25,2010-11-28
3,"m",85,991,934,873,2001-11-25,2010-11-28
3,"f",0,12379,11158,203,2001-11-25,2010-11-28
3,"f",10,13195,13284,61,2001-11-25,2010-11-28
3,"f",15,12645,12583,100,2001-11-25,2010-11-28
3,"f",20,10243,10798,86,2001-11-25,2010-11-28
3,"f",25,7396,9146,87,2001-11-25,2010-11-28
3,"f",30,6827,7700,63,2001-11-25,2010-11-28
3,"f",35,6023,6894,77,2001-11-25,2010-11-28
3,"f",40,5465,6261,102,2001-11-25,2010-11-28
3,"f",45,4490,5618,125,2001-11-25,2010-11-28
3,"f",5,12810,11996,50,2001-11-25,2010-11-28
3,"f",50,4224,4977,176,2001-11-25,2010-11-28
3,"f",55,3468,4261,197,2001-11-25,2010-11-28
3,"f",60,3227,3860,229,2001-11-25,2010-11-28
3,"f",65,2675,3514,291,2001-11-25,2010-11-28
3,"f",70,2293,2655,304,2001-11-25,2010-11-28
3,"f",75,1651,2011,400,2001-11-25,2010-11-28
3,"f",80,1180,1560,491,2001-11-25,2010-11-28
3,"f",85,1516,1345,1145,2001-11-25,2010-11-28
4,"m",0,8189,7876,276,2001-11-25,2010-11-28
4,"m",10,9019,8998,45,2001-11-25,2010-11-28
4,"m",15,7721,8053,96,2001-11-25,2010-11-28
4,"m",20,6027,6485,151,2001-11-25,2010-11-28
4,"m",25,5332,6013,148,2001-11-25,2010-11-28
4,"m",30,5158,5500,112,2001-11-25,2010-11-28
4,"m",35,4521,5250,124,2001-11-25,2010-11-28
4,"m",40,3927,4772,116,2001-11-25,2010-11-28
4,"m",45,3032,4095,120,2001-11-25,2010-11-28
4,"m",5,8694,8525,60,2001-11-25,2010-11-28
4,"m",50,2839,3301,125,2001-11-25,2010-11-28
4,"m",55,2439,2768,137,2001-11-25,2010-11-28
4,"m",60,2276,2474,204,2001-11-25,2010-11-28
4,"m",65,1872,2229,245,2001-11-25,2010-11-28
4,"m",70,1563,1828,338,2001-11-25,2010-11-28
4,"m",75,1107,1338,404,2001-11-25,2010-11-28
4,"m",80,647,836,423,2001-11-25,2010-11-28
4,"m",85,743,564,676,2001-11-25,2010-11-28
4,"f",0,7786,7496,205,2001-11-25,2010-11-28
4,"f",10,8712,8591,39,2001-11-25,2010-11-28
4,"f",15,7295,7806,82,2001-11-25,2010-11-28
4,"f",20,6308,6486,38,2001-11-25,2010-11-28
4,"f",25,5866,6320,41,2001-11-25,2010-11-28
4,"f",30,5571,5962,57,2001-11-25,2010-11-28
4,"f",35,4956,5802,65,2001-11-25,2010-11-28
4,"f",40,4117,5173,89,2001-11-25,2010-11-28
4,"f",45,3337,4502,68,2001-11-25,2010-11-28
4,"f",5,8514,8382,35,2001-11-25,2010-11-28
4,"f",50,2999,3479,121,2001-11-25,2010-11-28
4,"f",55,2488,3116,130,2001-11-25,2010-11-28
4,"f",60,2283,2683,165,2001-11-25,2010-11-28
4,"f",65,2083,2370,194,2001-11-25,2010-11-28
4,"f",70,1587,1948,288,2001-11-25,2010-11-28
4,"f",75,1160,1476,354,2001-11-25,2010-11-28
4,"f",80,750,930,364,2001-11-25,2010-11-28
4,"f",85,1079,735,812,2001-11-25,2010-11-28
5,"m",0,20893,21446,1234,2001-11-25,2010-11-28
5,"m",10,21778,23509,185,2001-11-25,2010-11-28
5,"m",15,17559,21158,323,2001-11-25,2010-11-28
5,"m",20,14267,17389,436,2001-11-25,2010-11-28
5,"m",25,11086,14841,357,2001-11-25,2010-11-28
5,"m",30,10134,12517,317,2001-11-25,2010-11-28
5,"m",35,9037,11288,314,2001-11-25,2010-11-28
5,"m",40,7920,9568,332,2001-11-25,2010-11-28
5,"m",45,6532,8826,402,2001-11-25,2010-11-28
5,"m",5,22035,23739,185,2001-11-25,2010-11-28
5,"m",50,6212,7061,411,2001-11-25,2010-11-28
5,"m",55,4876,6340,479,2001-11-25,2010-11-28
5,"m",60,4548,5423,536,2001-11-25,2010-11-28
5,"m",65,3779,5143,618,2001-11-25,2010-11-28
5,"m",70,3083,3804,786,2001-11-25,2010-11-28
5,"m",75,2396,2738,877,2001-11-25,2010-11-28
5,"m",80,1561,1843,956,2001-11-25,2010-11-28
5,"m",85,1811,1357,1516,2001-11-25,2010-11-28
5,"f",0,20501,20895,1020,2001-11-25,2010-11-28
5,"f",10,21180,22855,125,2001-11-25,2010-11-28
5,"f",15,18436,21124,212,2001-11-25,2010-11-28
5,"f",20,16012,17968,193,2001-11-25,2010-11-28
5,"f",25,12880,16799,149,2001-11-25,2010-11-28
5,"f",30,11340,14451,166,2001-11-25,2010-11-28
5,"f",35,10352,12792,167,2001-11-25,2010-11-28
5,"f",40,8887,10770,192,2001-11-25,2010-11-28
5,"f",45,7427,9766,229,2001-11-25,2010-11-28
5,"f",5,22201,23442,133,2001-11-25,2010-11-28
5,"f",50,6886,8154,258,2001-11-25,2010-11-28
5,"f",55,5469,7260,340,2001-11-25,2010-11-28
5,"f",60,4987,6278,407,2001-11-25,2010-11-28
5,"f",65,4245,5718,463,2001-11-25,2010-11-28
5,"f",70,3222,4341,579,2001-11-25,2010-11-28
5,"f",75,2439,3125,821,2001-11-25,2010-11-28
5,"f",80,1685,2248,908,2001-11-25,2010-11-28
5,"f",85,1901,1737,2007,2001-11-25,2010-11-28
6,"m",0,23590,22830,1378,2001-11-25,2010-11-28
6,"m",10,24854,25705,219,2001-11-25,2010-11-28
6,"m",15,19913,24335,323,2001-11-25,2010-11-28
6,"m",20,15061,19525,402,2001-11-25,2010-11-28
6,"m",25,11391,15867,319,2001-11-25,2010-11-28
6,"m",30,10630,12891,308,2001-11-25,2010-11-28
6,"m",35,9721,11619,315,2001-11-25,2010-11-28
6,"m",40,8880,10461,402,2001-11-25,2010-11-28
6,"m",45,7878,9812,437,2001-11-25,2010-11-28
6,"m",5,25215,24632,225,2001-11-25,2010-11-28
6,"m",50,7276,8517,533,2001-11-25,2010-11-28
6,"m",55,5940,7988,571,2001-11-25,2010-11-28
6,"m",60,5520,6768,710,2001-11-25,2010-11-28
6,"m",65,4697,6070,845,2001-11-25,2010-11-28
6,"m",70,3990,4699,1063,2001-11-25,2010-11-28
6,"m",75,2971,3451,1281,2001-11-25,2010-11-28
6,"m",80,1784,2386,1243,2001-11-25,2010-11-28
6,"m",85,1839,1665,1840,2001-11-25,2010-11-28
6,"f",0,23084,22338,1175,2001-11-25,2010-11-28
6,"f",10,25074,24941,144,2001-11-25,2010-11-28
6,"f",15,21641,24291,266,2001-11-25,2010-11-28
6,"f",20,17755,21078,254,2001-11-25,2010-11-28
6,"f",25,14364,18540,203,2001-11-25,2010-11-28
6,"f",30,12895,15441,196,2001-11-25,2010-11-28
6,"f",35,12027,14190,215,2001-11-25,2010-11-28
6,"f",40,10700,12525,247,2001-11-25,2010-11-28
6,"f",45,9515,11507,254,2001-11-25,2010-11-28
6,"f",5,25249,24334,169,2001-11-25,2010-11-28
6,"f",50,8654,10015,336,2001-11-25,2010-11-28
6,"f",55,6997,9366,444,2001-11-25,2010-11-28
6,"f",60,6663,8141,528,2001-11-25,2010-11-28
6,"f",65,5906,7285,636,2001-11-25,2010-11-28
6,"f",70,4640,5643,938,2001-11-25,2010-11-28
6,"f",75,3369,4331,1166,2001-11-25,2010-11-28
6,"f",80,2154,3051,1258,2001-11-25,2010-11-28
6,"f",85,2610,2322,2467,2001-11-25,2010-11-28
7,"m",0,28182,28335,634,2001-11-25,2010-11-28
7,"m",10,28835,32285,147,2001-11-25,2010-11-28
7,"m",15,27689,29590,308,2001-11-25,2010-11-28
7,"m",20,24737,26159,612,2001-11-25,2010-11-28
7,"m",25,20613,25034,622,2001-11-25,2010-11-28
7,"m",30,19464,22375,545,2001-11-25,2010-11-28
7,"m",35,17830,20343,475,2001-11-25,2010-11-28
7,"m",40,15656,17960,496,2001-11-25,2010-11-28
7,"m",45,11994,16691,566,2001-11-25,2010-11-28
7,"m",5,29090,31229,176,2001-11-25,2010-11-28
7,"m",50,10646,13423,636,2001-11-25,2010-11-28
7,"m",55,7407,11377,675,2001-11-25,2010-11-28
7,"m",60,6396,8827,694,2001-11-25,2010-11-28
7,"m",65,5146,6757,848,2001-11-25,2010-11-28
7,"m",70,4035,5110,1040,2001-11-25,2010-11-28
7,"m",75,2937,3371,1105,2001-11-25,2010-11-28
7,"m",80,1876,2220,994,2001-11-25,2010-11-28
7,"m",85,3028,1649,1464,2001-11-25,2010-11-28
7,"f",0,27388,27379,473,2001-11-25,2010-11-28
7,"f",10,28263,30886,94,2001-11-25,2010-11-28
7,"f",15,26782,28734,140,2001-11-25,2010-11-28
7,"f",20,24587,25876,157,2001-11-25,2010-11-28
7,"f",25,21038,24831,175,2001-11-25,2010-11-28
7,"f",30,19162,22567,172,2001-11-25,2010-11-28
7,"f",35,17460,20155,196,2001-11-25,2010-11-28
7,"f",40,14562,17594,240,2001-11-25,2010-11-28
7,"f",45,11476,16038,339,2001-11-25,2010-11-28
7,"f",5,28772,30256,118,2001-11-25,2010-11-28
7,"f",50,9649,12830,380,2001-11-25,2010-11-28
7,"f",55,6894,10984,473,2001-11-25,2010-11-28
7,"f",60,5946,8181,554,2001-11-25,2010-11-28
7,"f",65,4945,6642,636,2001-11-25,2010-11-28
7,"f",70,3855,4730,707,2001-11-25,2010-11-28
7,"f",75,2813,3314,823,2001-11-25,2010-11-28
7,"f",80,1880,2292,803,2001-11-25,2010-11-28
7,"f",85,2636,1967,1540,2001-11-25,2010-11-28
8,"m",0,23921,32765,739,2001-11-25,2010-11-28
8,"m",10,25474,33463,156,2001-11-25,2010-11-28
8,"m",15,20736,27986,406,2001-11-25,2010-11-28
8,"m",20,17328,22327,706,2001-11-25,2010-11-28
8,"m",25,13176,20252,661,2001-11-25,2010-11-28
8,"m",30,12318,17341,550,2001-11-25,2010-11-28
8,"m",35,11461,15347,453,2001-11-25,2010-11-28
8,"m",40,10477,13414,485,2001-11-25,2010-11-28
8,"m",45,8346,12873,471,2001-11-25,2010-11-28
8,"m",5,24999,34763,169,2001-11-25,2010-11-28
8,"m",50,6894,10417,487,2001-11-25,2010-11-28
8,"m",55,5116,9200,489,2001-11-25,2010-11-28
8,"m",60,4419,6656,529,2001-11-25,2010-11-28
8,"m",65,3689,5506,603,2001-11-25,2010-11-28
8,"m",70,2841,4077,651,2001-11-25,2010-11-28
8,"m",75,1996,2185,697,2001-11-25,2010-11-28
8,"m",80,1386,1366,598,2001-11-25,2010-11-28
8,"m",85,2754,974,825,2001-11-25,2010-11-28
8,"f",0,23131,31602,539,2001-11-25,2010-11-28
8,"f",10,23672,31354,90,2001-11-25,2010-11-28
8,"f",15,19713,27427,178,2001-11-25,2010-11-28
8,"f",20,17527,22778,195,2001-11-25,2010-11-28
8,"f",25,13433,21508,167,2001-11-25,2010-11-28
8,"f",30,12104,17714,167,2001-11-25,2010-11-28
8,"f",35,11039,15308,189,2001-11-25,2010-11-28
8,"f",40,9585,13135,240,2001-11-25,2010-11-28
