cod,age,sex,date1,date2,pop1,pop2,deaths
Rural,0,f,6/1/2004,6/1/2014,70879,78874,599
Rural,5,f,6/1/2004,6/1/2014,70252,68777,99
Rural,10,f,6/1/2004,6/1/2014,77277,69130,97
Rural,15,f,6/1/2004,6/1/2014,78442,61762,144
Rural,20,f,6/1/2004,6/1/2014,71983,62764,176
Rural,25,f,6/1/2004,6/1/2014,52103,59261,168
Rural,30,f,6/1/2004,6/1/2014,42599,53816,218
Rural,35,f,6/1/2004,6/1/2014,34445,43697,209
Rural,40,f,6/1/2004,6/1/2014,35445,37288,295
Rural,45,f,6/1/2004,6/1/2014,25284,30594,312
Rural,50,f,6/1/2004,6/1/2014,22986,30582,364
Rural,55,f,6/1/2004,6/1/2014,15146,21618,359
Rural,60,f,6/1/2004,6/1/2014,16690,19821,464
Rural,65,f,6/1/2004,6/1/2014,10106,11521,641
Rural,70,f,6/1/2004,6/1/2014,11152,11848,755
Rural,75,f,6/1/2004,6/1/2014,11696,15138,2333
Urban,0,f,6/1/2004,6/1/2014,118841,138401,1467
Urban,5,f,6/1/2004,6/1/2014,120606,125191,219
Urban,10,f,6/1/2004,6/1/2014,131361,128453,209
Urban,15,f,6/1/2004,6/1/2014,133487,131489,388
Urban,20,f,6/1/2004,6/1/2014,137242,146610,516
Urban,25,f,6/1/2004,6/1/2014,124843,138280,573
Urban,30,f,6/1/2004,6/1/2014,116365,133752,748
Urban,35,f,6/1/2004,6/1/2014,105417,124959,932
Urban,40,f,6/1/2004,6/1/2014,101110,116068,1128
Urban,45,f,6/1/2004,6/1/2014,77376,102811,1456
Urban,50,f,6/1/2004,6/1/2014,58942,99178,1906
Urban,55,f,6/1/2004,6/1/2014,37640,73458,2171
Urban,60,f,6/1/2004,6/1/2014,35538,56433,2604
Urban,65,f,6/1/2004,6/1/2014,23283,32252,3488
Urban,70,f,6/1/2004,6/1/2014,21561,28436,4402
Urban,75,f,6/1/2004,6/1/2014,23362,37486,13143
Rural,0,m,6/1/2004,6/1/2014,73813,82971,673
Rural,5,m,6/1/2004,6/1/2014,72960,71094,147
Rural,10,m,6/1/2004,6/1/2014,81866,72863,129
Rural,15,m,6/1/2004,6/1/2014,82226,65130,226
Rural,20,m,6/1/2004,6/1/2014,72841,65006,331
Rural,25,m,6/1/2004,6/1/2014,55459,61681,363
Rural,30,m,6/1/2004,6/1/2014,44053,56407,377
Rural,35,m,6/1/2004,6/1/2014,34408,47100,385
Rural,40,m,6/1/2004,6/1/2014,33836,39145,451
Rural,45,m,6/1/2004,6/1/2014,26783,31753,562
Rural,50,m,6/1/2004,6/1/2014,22690,30802,656
Rural,55,m,6/1/2004,6/1/2014,15014,23095,917
Rural,60,m,6/1/2004,6/1/2014,15102,19346,1190
Rural,65,m,6/1/2004,6/1/2014,10552,11546,1623
Rural,70,m,6/1/2004,6/1/2014,9866,10789,1870
Rural,75,m,6/1/2004,6/1/2014,11296,14408,4736
Urban,0,m,6/1/2004,6/1/2014,122296,144886,1790
Urban,5,m,6/1/2004,6/1/2014,123949,130260,284
Urban,10,m,6/1/2004,6/1/2014,133718,133516,331
Urban,15,m,6/1/2004,6/1/2014,128527,129773,729
Urban,20,m,6/1/2004,6/1/2014,124747,135237,1072
Urban,25,m,6/1/2004,6/1/2014,110754,126486,1211
Urban,30,m,6/1/2004,6/1/2014,105385,122040,1207
Urban,35,m,6/1/2004,6/1/2014,93964,110295,1385
Urban,40,m,6/1/2004,6/1/2014,94652,107732,1812
Urban,45,m,6/1/2004,6/1/2014,81918,94981,2450
Urban,50,m,6/1/2004,6/1/2014,65573,96072,3535
Urban,55,m,6/1/2004,6/1/2014,38705,78224,4080
Urban,60,m,6/1/2004,6/1/2014,31541,61566,4719
Urban,65,m,6/1/2004,6/1/2014,22177,32541,5291
Urban,70,m,6/1/2004,6/1/2014,18883,24804,6205
Urban,75,m,6/1/2004,6/1/2014,19515,31284,14932
